iter	Passed	Remaining
0	0	80
1	1	79
2	2	92
3	3	92
4	5	96
5	6	97
6	7	97
7	8	96
8	9	95
9	10	96
10	11	95
11	12	94
12	13	93
13	14	91
14	15	90
15	17	89
16	18	87
17	18	86
18	19	85
19	20	83
20	21	82
21	22	80
22	23	79
23	24	78
24	26	78
25	27	78
26	28	77
27	29	76
28	30	75
29	31	74
30	33	73
31	34	72
32	35	71
33	36	70
34	37	69
35	38	68
36	39	67
37	40	65
38	41	64
39	42	63
40	43	62
41	43	60
42	44	59
43	45	58
44	46	57
45	47	56
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	72	24
75	73	23
76	74	22
77	74	21
78	75	20
79	75	18
80	76	17
81	77	16
82	77	15
83	78	14
84	78	13
85	79	12
86	80	11
87	80	11
88	81	10
89	82	9
90	82	8
91	83	7
92	83	6
93	84	5
94	85	4
95	85	3
96	86	2
97	87	1
98	88	0
99	88	0
